FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk13_Weindis	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%Gehoelz	%Heide	%Landwirtschaft	%Moor	%Sumpf	%UnlandVegetationsloseFlaeche	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
NR024	0	7.428174908	2.959788232	23.06407694	54.49225672	1.105097451	0	2.652806554	0	0	0	0	0	2.509601006	0	0.328100991	0	4.232171964	1.227925239	0	0	11.60564473	0	16.1847015	58.48501013	1.125371583	0	4.179673435	0	0	0	0	3.196469811	0	0.627423212	0	4.088016442	0.507689166	3.793652744	1.85114606	1.200951995	8.498682572	0	0.025375901	2.601917545	0.710305908	0	11.84426619	1.694534047	0	50.59281009	0.849999758	0.275653256	6.44023264	1.332643397	3.144447936	0	0.295654705	0	0	2.581477338	0	2.266247924
NR_01	0	10.30054021	3.471511322	60.10740416	4.363715628	2.525134375	0	5.479059572	0	0	0	0	5.637022546	8.115612191	0	0	0	0	0	0	0	4.944468327	2.201081442	79.40945621	4.320048353	4.381218212	0	0.649143894	0.474100462	0	0	2.982098318	0.63838478	0	0	0	0	0	3.457869631	1.070526139	1.640809458	1.132573905	0	0.050698075	1.974353089	0.403161892	0	11.99549092	0.809279977	0	31.09914328	0	0	10.64478279	1.542584965	5.889203252	0	0.696308079	0	2.240423765	0	0	25.35279077
NR033	0	10.70008534	3.127883593	22.46396277	50.3513118	0.737869177	0.328190662	3.338030716	0	0	0	0	0	6.173826971	0	0.0267235	0	1.027084577	1.7250309	0	0	10.62354576	0.159257625	29.15292668	49.20767093	0	0	3.629617907	0	0	0	0	3.543475066	0	0.496090306	0	0.950594251	2.236821473	1.267834471	0.041613456	1.849522158	0.323590748	0	0.035617985	1.49257128	0.317167707	0	30.95896608	1.225655717	0	52.04807418	0	0	4.063186398	1.55978087	1.629580547	0	0.161074896	0	0	2.25964318	0	0.766120334
NR044	0	3.77600912	5.241015587	30.67849474	52.09800339	0	0.372073857	1.914674111	0	0	0.249236631	0	0	3.711084523	0	1.566866328	0	0.196075283	0.196466434	0	0.422243395	4.347694628	1.761380866	27.77357422	52.92872404	0	0	8.28710367	0	0	0	0	3.513995176	0	0.058819219	0	0.182805908	0.723658883	3.137283738	1.244493128	0.812246344	2.666692726	0	0.02374507	2.412419436	0.225238401	0	15.6279756	4.483096457	0	48.20807441	0	0	9.579537574	1.557399883	4.491886437	0	0.051802576	0	1.173145341	0.27179796	0	4.033164913
NR057	0	4.895038723	3.392869018	30.31371742	52.33904703	1.066664561	0	1.881342562	0	0	0.00847441	0	0	4.584005527	0	0.149228206	0.007209922	0.797532382	0.564870234	0	0	6.093528937	0.666242931	28.55606418	52.67722243	2.040358928	0.560083779	2.901748814	0	0.00850775	0	0	4.656787395	0	0.078616418	0	0.716972909	1.043865522	4.544749634	0.067703154	0.924909577	1.416611119	0	0.089991504	3.099995774	0.651861442	0	21.78167374	2.13874402	0	46.6758765	0	0	9.915993889	1.859758698	3.683021739	0	0.128192843	0	0.032146534	1.706072983	0	1.282696847
NR066	0	8.501690903	3.103906044	32.27005316	50.91679069	0.130340705	0.191421768	2.1152082	0.034805072	0	0.008830624	0	0	1.740667617	0	0.225167643	0	0.501627514	0.259490063	0	0.068651093	12.0561607	0.68398064	29.73522095	50.33737956	0.201816953	0.496971987	3.491800821	0.343784122	0	0	0	1.227322961	0	0.012884014	0	0.384253599	0.959772598	3.947341742	0	0.936631459	1.22714786	0	0.050512696	3.976926595	0.661487282	0	26.56302055	2.658552168	0	46.00349826	0.109246826	0	5.621135872	1.812760556	3.108220498	0	0.098692556	0.004503394	0.246608522	1.891167087	0	1.082546083
NR175	0	11.2863666	3.847062889	32.50516572	42.54253019	0.681105439	0	8.32430372	0	0	0	0	0	0.315129864	0	0.01636875	0	0.268481971	0.213484856	0	0	14.47367857	0.1045881	35.27452041	36.56523987	0.373308922	0	10.82521019	0.808262102	0	0	0	1.136577291	0	0	0	0.351423421	0.087191125	1.05444059	0	0.098517604	0.322426805	0	0.018364935	3.140308923	0.092788761	0	16.0022411	5.289147047	0	59.49080049	0.001785191	0	8.997236871	1.621458079	2.326964323	0	0	0	0	0.926842006	0	0.616677277
NR068	0	3.207431083	3.395766913	17.08066115	65.67601239	0.076384772	0.635144766	0.568148728	0.168759062	0	0	0	0	2.009000021	0	0.521235291	0	0.321183587	6.340272242	0	0.373718081	8.893820693	0.491124276	14.19341784	71.21507242	0.030168341	0.003038208	1.066245203	0.430751455	0	0	0	1.662261753	0	0.33485253	0	0.335700501	0.969828705	2.773348148	0.032974468	0.974031141	1.583361224	0	0	1.715829351	0.136844853	0	6.979127052	4.381860538	0.006688287	51.04357501	0.623755027	0	14.51867964	1.446198077	2.375683905	0	0.073056958	0	0.887709843	5.184047056	0	5.263229422
NR080	0	12.17359442	3.349919239	31.47246031	42.70224691	0.099789622	0.270943666	5.747265657	0.721566104	0	0.021768838	0	0	1.658501268	0	0	0	0.692425541	1.089518432	0	2.110773328	16.60720397	0.759968993	25.39732837	39.11403894	0.008710989	0	7.770260054	0.642079253	0.021799862	0	0	5.829056407	0	0.323268977	0	0.120978026	1.294532833	2.044324222	0	0.265552608	0.424002316	0	0	2.372020271	0.131151873	0	31.6588516	4.601486723	0	42.54431893	0.003594655	0.37174859	7.815401278	1.899898556	2.77950264	0	0.049916714	0	0.143761727	2.109163755	0	0.785303545
NR088	0	4.667788889	3.644055687	36.33134794	23.77015109	0	0.445960755	3.066840428	0	0	0	0	0	0.999259765	0	0	0	26.51036491	0.564230526	0	0.85543403	11.09031602	0.763429827	30.15952733	23.92194857	0	1.150321002	1.610173743	0	0	0	0	3.155572178	0	0	0	26.81350555	0.479771758	5.031059275	0	2.403791633	0.429783849	0	0.141230053	2.419942127	0.285643491	0	18.27899306	2.828123445	0	37.15915491	0	1.502135993	6.455441444	1.796356331	4.833885746	0	0.17620832	0	0	15.77087266	0	0.487377656
NR098	0	7.451937376	3.24901367	38.22159231	41.32151363	0.23944754	0.545326707	5.030828816	0	0	0	0	0.06750256	1.206094565	0	0.046494956	0	0	2.620247874	0	0	9.389961472	1.070554223	33.657028	46.92660841	0	0.663040333	2.111070031	0	0	0	0	5.778006318	0	0.297694063	0	0	0.106037145	3.19715428	0.629843399	0.595892294	1.748885703	0	0.022575882	1.384756892	0.023226264	0	34.27687354	3.368392547	0	34.23451299	0	0	13.57425199	2.022948425	2.489076302	0	0.006868281	0	0.153947169	1.35397144	0	0.916822607
NR105	0	5.544044478	1.692863216	28.71835421	58.7738097	0.316998131	0.409717067	1.70571205	0.287802678	0	0.007558751	0	0	1.757325169	0.292382093	0.108151768	0	0.134670228	0.250610461	0	0.093083248	7.826090188	0.632578775	28.00375247	57.12895612	0.183595464	0.567025104	2.232517793	0.333165302	0.007505866	0	0	2.179771845	0.40327552	0.135215935	0	0.147409632	0.126056736	2.244350195	0.053515536	0.637522916	0.894466111	0	0.054297225	3.438935982	0.337310994	0	21.24536613	2.728629492	0	54.80908975	0	0	6.516225042	1.610945039	3.364928671	0	0.017740925	0	0	0.432202518	0	1.614473476
NR113	0	8.276315875	4.361241349	38.81236864	33.70769378	0.14192755	0.352846142	3.600442219	0.758652509	0	0	0	0	6.174269785	0	0.028993034	0	2.608356878	1.176892243	0	0	13.20292742	1.210926728	37.6679951	32.27827695	0.350489437	1.228491425	4.808628583	1.040090103	0	0	0	4.491081349	0	0.864266301	0	2.524299397	0.332527212	4.933376317	0.349829736	0.669453679	2.057568933	0	0.008162895	2.12942452	0.521152823	0	26.50263123	4.080538425	0.021671035	38.53332778	0	0.047528343	9.491010993	2.074885236	3.573960259	0	0.139543904	0	0.223646406	3.769890944	0	0.872396546
NR117	0	4.127584682	1.621241551	32.18640974	52.37047193	1.216269826	0.153687506	5.101182819	0.515994088	0	0	0	0.04294421	1.492461199	0	0.022199923	0	0.631355268	0.518197253	0	0	7.158462312	0.242305959	31.31819749	50.07643593	0.867428198	1.30632481	5.072461863	0.669038213	0	0	0.081081374	2.60592969	0	0.04687872	0	0.404431305	0.151024128	1.207383851	0.398720709	0.289174816	0.594241269	0	0	2.213361336	0.094901249	0	24.9372274	3.101291207	0	51.16901916	0	0.025689054	9.339041977	1.742822052	2.814079829	0	0.027263322	0	0.013122	0.904722707	0	1.127938063
NR143	0	2.730882355	1.668534237	14.5146411	74.79117527	0.076685879	0.003923581	3.510804056	0.026528472	0	0	0	0	0.548443143	0	0.066644351	0	0.102685709	1.959051846	0	0	3.634158244	0	19.31174388	72.26039714	0	0.782522432	3.076468041	0.246729315	0	0	0	0.119989787	0	0.210572466	0	0.105793156	0.251625541	1.293416082	0	0.048250785	0.58434828	0	0	2.038687163	0.043181424	0	30.11688838	3.775507442	0.031953235	45.08120358	0.28913652	0	11.75463951	1.236151355	2.391731763	0	0.049347781	0	0	0.211116477	0	1.054440221
NR201	0	11.62546937	5.712883175	28.71583417	44.55203675	0.727490523	0.72390526	2.134779517	3.493143626	0	0	0	0	1.74863912	0	0.031614374	0	0	0.534204108	0	0.055465129	19.06949398	1.996676647	25.55764872	44.79610077	4.217879286	0.119934611	1.077778396	0.256092925	0	0	0	1.055226078	0	1.52844432	0	0	0.26925914	5.441968824	0.240378846	1.581971551	1.43000524	0	0.050318715	4.555482385	0.248161462	0	12.42099709	7.409061907	0	44.03059994	0.187221802	0	8.651143144	1.940811131	5.485354503	0	0.046863303	0	1.301762171	0.816508549	0	4.161389437
NR211	0	4.744277702	4.872545384	29.79839491	42.69642769	0.077341098	1.962092578	8.487664203	0	0	0	0	0	3.884764045	0	0	0	0.123020541	3.353471843	0	0	0.435952363	2.278603816	49.92131439	41.52855497	0	0.923273662	2.821666372	0	0	0	0.104569761	0.981074725	0.892141324	0	0	0.112848621	0	0.697744514	0	0.074592082	0.446414858	0	0	3.418233895	0.002124108	0	25.02768953	3.064637153	0	54.90548202	0	0	4.856094354	2.147938373	2.250212241	0	0.01074634	0	1.367644316	0.760003811	0	0.97044241
NR216	0	8.177991084	1.922858702	36.50856692	44.19444254	0	0	2.686082871	0	0	0	0	0	5.523066912	0	0.099767097	0	0	0.887223877	0	0	9.354462392	0.094807522	37.14389921	45.31593684	0	0	3.532197595	0.69615867	0	0	0	2.869772679	0	0.145751369	0.144783795	0	0.702229933	8.760499704	0.0288839	1.889833474	3.246722708	0	0.764434454	2.513913869	1.781891251	0	9.160020325	2.57355573	0	45.40768008	0.082807811	0	11.17570777	2.413144256	7.901652397	0	0.565257133	0.149626655	0	0.599311861	0	0.985056629
NR219	0	10.81041137	2.996238088	25.9345256	44.1298896	0	0	11.341278	0	0	0	0	0	4.508624525	0	0	0	0.279032818	0	0	0	1.751397953	2.684756359	40.16293382	43.01081223	0	0	6.769457339	1.353760058	0	0	0	3.990328151	0	0	0	0.276554089	0	1.189967847	0	0	0.703075147	0	0	2.453274321	0.179983946	0	17.85468914	3.603358995	0	52.60147176	0	0	13.52964652	1.990988497	3.667162679	0	0	0	0	1.265278775	0	0.961102374
